Team,Goals
Tampa Bay Lightning,319
Boston Bruins,257
Calgary Flames,289
Washington Capitals,274
New York Islanders,223
San Jose Sharks,289
Toronto Maple Leafs,286
Nashville Predators,236
Pittsburgh Penguins,271
St. Louis Blues,244
Winnipeg Jets,270
Carolina Hurricanes,243
Columbus Blue Jackets,256
Montreal Canadiens,246
Vegas Golden Knights,246
Dallas Stars,209
Colorado Avalanche,258
Florida Panthers,264
Arizona Coyotes,209
Chicago Blackhawks,267
Minnesota Wild,210
Philadelphia Flyers,241
Vancouver Canucks,219
Anaheim Ducks,196
Edmonton Oilers,229
New York Rangers,221
Buffalo Sabres,221
Detroit Red Wings,224
New Jersey Devils,219
Los Angeles Kings,199
Ottawa Senators,242
