G,Date,tp,tpa
1,10/24/2019,1,8
2,10/26/2019,2,18
3,10/28/2019,3,14
4,10/30/2019,6,14
5,11/1/2019,2,16
6,11/3/2019,3,9
7,11/4/2019,7,16
8,11/6/2019,6,16
9,11/9/2019,9,19
10,11/11/2019,3,11
11,11/13/2019,7,13
12,11/15/2019,6,14
13,11/16/2019,8,22
14,11/18/2019,5,10
15,11/20/2019,4,8
16,11/22/2019,5,11
17,11/24/2019,2,15
18,11/27/2019,7,17
19,11/30/2019,8,14
20,12/3/2019,4,20
21,12/5/2019,3,5
22,12/7/2019,3,17
23,12/9/2019,3,10
24,12/11/2019,10,18
25,12/13/2019,10,15
26,12/14/2019,4,13
27,12/16/2019,4,13
28,12/19/2019,5,11
29,12/21/2019,9,19
30,12/23/2019,4,11
31,12/25/2019,6,10
32,12/28/2019,6,10
33,12/29/2019,,
34,12/31/2019,6,9
35,1/3/2020,6,12
36,1/8/2020,4,20
37,1/9/2020,2,9
38,1/11/2020,6,11
39,1/14/2020,5,19
40,1/15/2020,1,6
41,1/18/2020,2,9
42,1/20/2020,1,17
43,1/22/2020,2,6
44,1/24/2020,0,6
45,1/26/2020,,
46,1/27/2020,,
47,1/29/2020,2,8
48,1/31/2020,6,14
49,2/2/2020,7,15
50,2/4/2020,4,11
51,2/6/2020,1,6
52,2/7/2020,5,10
53,2/9/2020,2,13
54,2/11/2020,7,16
55,2/20/2020,3,12
56,2/22/2020,6,11
57,2/24/2020,4,11
58,2/26/2020,7,12
59,2/29/2020,4,17
60,3/2/2020,3,13
61,3/5/2020,0,8
62,3/7/2020,2,11
63,3/8/2020,3,10
64,3/10/2020,5,10
65,7/31/2020,3,9
66,8/2/2020,3,12
67,8/4/2020,3,8
68,8/6/2020,5,10
69,8/9/2020,3,12
70,8/11/2020,,
71,8/12/2020,7,14
72,8/14/2020,4,9
