last_name, first_name,year,Exit Velocity (MPH),Slugging Percentage
Tatis Jr., Fernando,2020,95.9,.571
Sano, Miguel,2020,95.2,.478
Yelich, Christian,2020,94,.430
Trout, Mike,2020,93.7,.603
Hernandez, Teoscar,2020,93.3,.579
Seager, Corey,2020,93.2,.585
Cabrera, Miguel,2020,93.2,.417
Ozuna, Marcell,2020,93,.636
Devers, Rafael,2020,93,.483
Abreu, Jose,2020,92.9,.617
Schwarber, Kyle,2020,92.8,.393
Harper, Bryce,2020,92.5,.542
Guerrero Jr., Vladimir,2020,92.5,.462
Freeman, Freddie,2020,92.4,.640
Acuna Jr., Ronald,2020,92.4,.581
Jimenez, Eloy,2020,92.4,.559
Reyes, Franmil,2020,92.4,.450
Olson, Matt,2020,92.3,.424
Soto, Juan,2020,92.1,.695
Moran, Colin,2020,91.9,.472
Longoria, Evan,2020,91.7,.425
Bell, Josh,2020,91.7,.364
White, Evan,2020,91.7,.346
Cruz, Nelson,2020,91.6,.595
LeMahieu, DJ,2020,91.3,.590
Gallo, Joey,2020,91.2,.378
Tucker, Kyle,2020,91.1,.512
Happ, Ian,2020,91.1,.505
Myers, Wil,2020,91,.606
Castellanos, Nick,2020,91,.486
Riley, Austin,2020,91,.415
Gurriel Jr., Lourdes,2020,90.8,.534
Betts, Mookie,2020,90.7,.562
Mondesi, Adalberto,2020,90.6,.416
Turner, Trea,2020,90.5,.588
Walker, Christian,2020,90.4,.459
Grandal, Yasmani,2020,90.3,.422
Machado, Manny,2020,90.2,.580
Candelario, Jeimer,2020,90.2,.503
Realmuto, J.T.,2020,90.2,.491
Alonso, Pete,2020,90.2,.490
Rendon, Anthony,2020,90.1,.497
McMahon, Ryan,2020,90.1,.419
Davis, J.D.,2020,90.1,.389
Reyes, Victor,2020,90,.391
Story, Trevor,2020,89.9,.519
Lindor, Francisco,2020,89.9,.415
Solak, Nick,2020,89.9,.344
Smith, Dominic,2020,89.8,.616
Lowe, Brandon,2020,89.8,.554
Cronenworth, Jake,2020,89.8,.477
Contreras, Willson,2020,89.8,.407
McCutchen, Andrew,2020,89.7,.433
Canha, Mark,2020,89.7,.408
Pollock, AJ,2020,89.6,.566
Cabrera, Asdrubal,2020,89.5,.447
Martinez, J.D.,2020,89.5,.389
Calhoun, Kole,2020,89.4,.526
Baez, Javier,2020,89.4,.360
Aguilar, Jesus,2020,89.3,.457
Bellinger, Cody,2020,89.3,.455
Gurriel, Yuli,2020,89.3,.384
Goldschmidt, Paul,2020,89.2,.466
Peralta, David,2020,89.2,.433
Marte, Ketel,2020,89.2,.409
Gonzalez, Marwin,2020,89.2,.320
Suarez, Eugenio,2020,89.1,.470
Swanson, Dansby,2020,89.1,.464
Seager, Kyle,2020,89.1,.433
Hernandez, Cesar,2020,89.1,.408
Bogaerts, Xander,2020,89,.502
Grossman, Robbie,2020,89,.482
Arcia, Orlando,2020,89,.416
Voit, Luke,2020,88.9,.610
Grichuk, Randal,2020,88.9,.481
Adames, Willy,2020,88.8,.481
Ramirez, Jose,2020,88.7,.607
Springer, George,2020,88.7,.540
Brantley, Michael,2020,88.7,.476
Crawford, Brandon,2020,88.7,.465
Correa, Carlos,2020,88.6,.383
Escobar, Eduardo,2020,88.6,.335
Solano, Donovan,2020,88.5,.463
Kepler, Max,2020,88.5,.439
Muncy, Max,2020,88.5,.389
Gonzalez, Erik,2020,88.5,.359
Conforto, Michael,2020,88.4,.515
Vazquez, Christian,2020,88.4,.457
Grisham, Trent,2020,88.3,.456
Bradley Jr., Jackie,2020,88.3,.450
Lewis, Kyle,2020,88.3,.437
Yastrzemski, Mike,2020,88.2,.568
Hicks, Aaron,2020,88.2,.414
Duvall, Adam,2020,88.1,.532
Taylor, Chris,2020,88,.476
La Stella, Tommy,2020,88,.449
Santana, Carlos,2020,88,.350
Flores, Wilmer,2020,87.9,.515
Robert, Luis,2020,87.9,.436
Ruiz, Rio,2020,87.9,.427
Arenado, Nolan,2020,87.8,.434
Moncada, Yoan,2020,87.8,.385
Segura, Jean,2020,87.7,.422
Rizzo, Anthony,2020,87.7,.414
Ahmed, Nick,2020,87.7,.402
Laureano, Ramon,2020,87.7,.366
Rosario, Eddie,2020,87.5,.476
Reynolds, Bryan,2020,87.5,.357
Anderson, Brian,2020,87.4,.465
Votto, Joey,2020,87.4,.446
Biggio, Cavan,2020,87.4,.432
Hiura, Keston,2020,87.4,.410
Garcia, Avisail,2020,87.4,.326
Anderson, Tim,2020,87.2,.529
Nimmo, Brandon,2020,87.2,.484
Profar, Jurickson,2020,87.2,.428
Kiner-Falefa, Isiah,2020,87.2,.370
Pillar, Kevin,2020,87.1,.462
Marte, Starling,2020,87.1,.430
Verdugo, Alex,2020,87,.478
Blackmon, Charlie,2020,86.9,.448
Franco, Maikel,2020,86.7,.457
Altuve, Jose,2020,86.7,.344
Villar, Jonathan,2020,86.7,.292
McNeil, Jeff,2020,86.6,.454
Polanco, Jorge,2020,86.6,.354
Edman, Tommy,2020,86.5,.368
Wong, Kolten,2020,86.5,.326
Dozier, Hunter,2020,86.4,.392
Nunez, Renato,2020,86.3,.492
Semien, Marcus,2020,86.2,.374
Merrifield, Whit,2020,86.1,.440
Reddick, Josh,2020,85.9,.378
Crawford, J.P.,2020,85.8,.338
Dickerson, Corey,2020,85.7,.402
Frazier, Adam,2020,85.5,.364
Tapia, Raimel,2020,85.3,.402
Lopez, Nicky,2020,84.9,.266
Fletcher, David,2020,84.7,.425
Gregorius, Didi,2020,83.8,.488
Alberto, Hanser,2020,82.3,.393
Robles, Victor,2020,82.2,.315
