Team,PP
Tampa Bay Lightning,74
Boston Bruins,65
Calgary Flames,53
Washington Capitals,49
New York Islanders,33
San Jose Sharks,57
Toronto Maple Leafs,46
Nashville Predators,33
Pittsburgh Penguins,56
St. Louis Blues,50
Winnipeg Jets,62
Carolina Hurricanes,44
Columbus Blue Jackets,34
Montreal Canadiens,31
Vegas Golden Knights,39
Dallas Stars,45
Colorado Avalanche,63
Florida Panthers,72
Arizona Coyotes,42
Chicago Blackhawks,48
Minnesota Wild,49
Philadelphia Flyers,40
Vancouver Canucks,43
Anaheim Ducks,36
Edmonton Oilers,47
New York Rangers,44
Buffalo Sabres,46
Detroit Red Wings,39
New Jersey Devils,45
Los Angeles Kings,35
Ottawa Senators,46
