Date,MPH
7/23/2020,75.6
7/23/2020,94.8
7/23/2020,102.8
7/23/2020,104
7/24/2020,80.3
7/24/2020,95.1
7/24/2020,99.7
7/24/2020,101.9
7/25/2020,79.3
7/25/2020,101.1
7/25/2020,102.2
7/25/2020,109.2
7/26/2020,97.2
7/26/2020,100.2
7/26/2020,100.6
7/28/2020,91.2
7/28/2020,93.9
7/28/2020,100.5
7/28/2020,108.7
7/29/2020,78.9
7/29/2020,87.5
7/29/2020,105.8
7/29/2020,107.6
7/30/2020,31.1
7/30/2020,46.6
7/30/2020,104.9
7/31/2020,99.8
7/31/2020,106.6
7/31/2020,109.5
8/1/2020,81
8/1/2020,100.8
8/1/2020,112.8
8/3/2020,90.9
8/3/2020,105.7
8/3/2020,110.3
8/4/2020,77.6
8/4/2020,92.4
8/4/2020,102.8
8/4/2020,111.4
8/5/2020,90.3
8/5/2020,95.8
8/5/2020,97.3
8/5/2020,99.1
8/7/2020,84.3
8/13/2020,87.6
8/13/2020,90.8
8/13/2020,97.6
8/13/2020,100.4
8/14/2020,75.8
8/14/2020,89.3
8/14/2020,100.2
8/14/2020,100.5
8/15/2020,59.5
8/15/2020,84.7
8/15/2020,89.5
8/15/2020,93.3
8/16/2020,82.3
8/16/2020,88.2
8/16/2020,111.1
8/17/2020,71.5
8/17/2020,99.5
8/17/2020,106.5
8/17/2020,106.8
8/18/2020,63.2
8/18/2020,93.9
8/18/2020,107.3
8/19/2020,87.3
8/19/2020,95.4
8/19/2020,102.3
8/21/2020,77.7
8/21/2020,87.7
8/21/2020,96
8/21/2020,109.2
8/22/2020,85.8
8/22/2020,102.3
8/23/2020,78.8
8/23/2020,99.8
8/23/2020,101.4
8/23/2020,108.2
8/23/2020,109.9
8/25/2020,96.9
8/25/2020,97.5
8/25/2020,104.5
8/25/2020,113.1
8/27/2020,48.5
8/27/2020,64.2
8/27/2020,93.7
8/27/2020,96.2
8/27/2020,96.7
8/27/2020,106.9
8/28/2020,105.9
8/28/2020,109.1
8/29/2020,70.2
8/29/2020,85.1
8/30/2020,82.4
8/30/2020,97.3
8/30/2020,105
8/30/2020,111.9
9/1/2020,102.1
9/1/2020,104.1
9/1/2020,110.5
9/2/2020,68.4
9/2/2020,92.8
9/2/2020,102.4
9/3/2020,71
9/3/2020,83.6
9/3/2020,89.2
9/3/2020,104.8
9/4/2020,85.9
9/4/2020,87.2
9/4/2020,87.9
9/4/2020,103.5
9/5/2020,98.5
9/5/2020,103
9/6/2020,79.5
9/6/2020,102.2
9/6/2020,111.3
9/8/2020,90.3
9/8/2020,95.2
9/8/2020,102.4
9/9/2020,78.1
9/9/2020,98.7
9/9/2020,109.3
9/10/2020,81.3
9/10/2020,87.8
9/10/2020,95.4
9/10/2020,100.5
9/10/2020,101.3
9/12/2020,99.2
9/12/2020,103.1
9/12/2020,105.2
9/13/2020,83.1
9/13/2020,97
9/13/2020,97.4
9/14/2020,90.9
9/14/2020,91.2
9/14/2020,106.5
9/15/2020,47.8
9/15/2020,59.7
9/15/2020,96.5
9/16/2020,85.7
9/16/2020,91.7
9/16/2020,98.2
9/17/2020,69.2
9/17/2020,75.5
9/17/2020,88.4
9/17/2020,100.1
9/17/2020,109.9
9/18/2020,58.8
9/18/2020,90
9/18/2020,96.5
9/18/2020,102.6
9/18/2020,105
9/20/2020,85.2
9/20/2020,92.1
9/20/2020,108.8
9/22/2020,77.8
9/22/2020,105.4
9/22/2020,110.3
9/23/2020,95
9/23/2020,102.1
9/23/2020,110.9
9/24/2020,83.9
9/24/2020,92.9
9/24/2020,99.3
9/24/2020,104.4
9/25/2020,79.5
9/25/2020,85.1
9/25/2020,100.6
9/26/2020,94.5
9/27/2020,61.4
9/27/2020,67.4
9/27/2020,96.1
9/27/2020,96.6
