game_no,yards_gained
1,18
1,10
1,6
1,8
1,8
1,13
1,21
1,11
1,4
1,17
1,16
1,10
1,9
1,3
1,17
1,11
1,13
1,9
2,17
2,18
2,12
2,4
2,-1
2,12
2,32
2,10
2,10
2,1
2,17
2,5
2,18
2,15
2,15
2,14
2,6
2,6
2,12
2,25
2,15
2,6
2,10
2,8
2,9
2,6
2,11
2,15
3,12
3,6
3,12
3,58
3,7
3,35
3,11
3,1
3,10
3,7
3,31
3,9
3,5
3,13
3,8
3,38
3,14
3,6
3,14
3,4
3,5
3,26
4,10
4,10
4,16
4,11
4,8
4,6
4,5
4,5
4,4
4,16
4,1
4,9
4,8
4,8
4,41
4,8
4,13
4,15
4,15
4,7
4,10
4,29
4,18
4,24
4,20
4,17
5,15
5,7
5,15
5,15
5,9
6,21
6,10
6,11
6,11
6,9
6,14
6,14
6,20
6,5
6,7
6,19
6,12
6,12
6,10
6,5
6,14
6,17
6,23
6,7
6,15
6,19
6,14
6,9
6,33
6,12
6,5
6,4
6,7
6,12
6,8
6,6
6,-1
7,5
7,5
7,19
7,-5
7,4
7,8
7,4
7,6
7,10
7,17
7,11
7,14
7,4
7,11
7,14
7,12
7,23
7,6
7,18
7,19
7,5
8,2
8,11
8,9
8,13
8,14
8,9
8,9
9,11
9,13
9,8
9,28
9,17
9,2
10,20
11,34
11,5
11,6
11,13
11,19
11,7
11,1
11,17
11,0
11,11
11,22
11,17
11,12
11,16
11,11
12,1
12,6
12,12
12,13
12,21
12,12
12,16
12,12
12,18
12,19
12,10
12,10
12,5
12,11
12,11
12,11
12,8
12,15
12,5
12,6
12,19
12,2
12,9
12,2
12,11
13,1
13,5
13,6
13,11
13,30
13,11
13,-1
13,6
13,23
13,14
13,3
13,0
13,11
13,8
13,7
13,42
13,13
13,1
13,18
13,14
13,9
13,4
13,12
13,16
13,13
13,11
13,11
14,1
14,17
14,9
14,6
14,3
14,15
14,13
14,4
14,70
14,16
14,36
14,28
14,18
14,39
14,3
14,19
14,18
14,1
14,30
14,13
14,8
15,7
15,13
15,12
15,5
15,15
15,12
15,9
15,11
15,15
15,17
15,5
15,9
15,9
15,19
15,8
15,43
15,9
15,7
15,5
15,12
15,9
15,17
15,12
15,9
15,9
15,16
15,10
15,39
