Gm #,Date,R
1,28-Mar,7
2,30-Mar,3
3,31-Mar,5
4,1-Apr,3
5,2-Apr,1
6,3-Apr,1
7,4-Apr,8
8,6-Apr,6
9,7-Apr,15
10,8-Apr,3
11,9-Apr,3
12,10-Apr,6
13,12-Apr,6
14,13-Apr,4
15,14-Apr,2
16,16-Apr,8
17,17-Apr,5
18,18-Apr,1
19,19-Apr,6
20,20-Apr,9
21,21-Apr,7
22,22-Apr,4
23,23-Apr,7
24,24-Apr,6
25,25-Apr,5
26,26-Apr,7
27,27-Apr,6
28,28-Apr,11
29,30-Apr,1
30,1-May,2
31,3-May,6
32,4-May,3
33,5-May,4
34,6-May,7
35,7-May,5
36,8-May,1
37,9-May,3
38,10-May,4
39,11-May,2
40,12-May,7
41,May 15 (1),5
42,May 15 (2),3
43,17-May,4
44,18-May,1
45,19-May,13
46,20-May,10
47,21-May,11
48,22-May,7
49,23-May,6
50,May 25 (1),7
51,May 25 (2),6
52,26-May,7
53,27-May,5
54,28-May,4
55,29-May,7
56,31-May,4
57,1-Jun,5
58,2-Jun,5
59,4-Jun,3
60,5-Jun,7
61,6-Jun,6
62,7-Jun,2
63,8-Jun,4
64,9-Jun,7
65,Jun 11 (1),12
66,Jun 11 (2),4
67,13-Jun,4
68,14-Jun,2
69,15-Jun,8
70,16-Jun,10
71,17-Jun,3
72,18-Jun,6
73,19-Jun,12
74,20-Jun,10
75,21-Jun,4
76,22-Jun,7
77,23-Jun,4
78,24-Jun,10
79,25-Jun,4
80,26-Jun,8
81,29-Jun,17
82,30-Jun,12
83,2-Jul,2
84,3-Jul,5
85,4-Jul,8
86,5-Jul,8
87,6-Jul,3
88,7-Jul,1
89,12-Jul,4
90,13-Jul,1
91,14-Jul,4
92,15-Jul,4
93,16-Jul,8
94,Jul 18 (1),6
95,Jul 18 (2),5
96,19-Jul,8
97,20-Jul,11
98,21-Jul,4
99,22-Jul,6
100,23-Jul,14
101,24-Jul,10
102,25-Jul,3
103,26-Jul,5
104,27-Jul,5
105,28-Jul,9
106,30-Jul,2
107,31-Jul,7
108,2-Aug,4
109,Aug 3 (1),9
110,Aug 3 (2),6
111,4-Aug,7
112,5-Aug,9
113,6-Aug,9
114,7-Aug,14
115,8-Aug,12
116,9-Aug,2
117,10-Aug,4
118,11-Aug,1
119,Aug 12 (1),8
120,Aug 12 (2),11
121,13-Aug,8
122,14-Aug,6
123,15-Aug,5
124,16-Aug,3
125,17-Aug,6
126,18-Aug,4
127,20-Aug,2
128,21-Aug,4
129,22-Aug,3
130,23-Aug,10
131,24-Aug,1
132,25-Aug,5
133,26-Aug,5
134,27-Aug,7
135,28-Aug,7
136,30-Aug,2
137,31-Aug,4
138,1-Sep,5
139,2-Sep,0
140,3-Sep,10
141,4-Sep,4
142,6-Sep,1
143,7-Sep,5
144,8-Sep,10
145,9-Sep,5
146,10-Sep,11
147,Sep 12 (1),10
148,Sep 12 (2),6
149,13-Sep,5
150,14-Sep,13
151,15-Sep,4
152,17-Sep,8
153,18-Sep,2
154,19-Sep,9
155,20-Sep,3
156,21-Sep,7
157,22-Sep,8
158,24-Sep,1
159,25-Sep,0
160,27-Sep,14
161,28-Sep,4
162,29-Sep,1
